#kind=historical_reanalysis
#name=Newcastle upon Tyne, May-August 2021
#source=Open-Meteo Historical Weather API; ECMWF ERA5
#source_url=https://archive-api.open-meteo.com/v1/archive?latitude=54.9783&longitude=-1.6178&start_date=2021-05-01&end_date=2021-09-01&hourly=temperature_2m%2Crain%2Cshortwave_radiation%2Cwind_speed_10m&timezone=GMT&wind_speed_unit=ms&models=era5
#raw_sha256=ca6210ba882279f2dcf60a2a8e54530e9d30a69dce49cb5a6abfcf50466d4fa0
#license=CC BY 4.0; credit Open-Meteo and Copernicus Climate Change Service
#time_basis=UTC; rain and solar shifted to interval-start; temperature and wind instantaneous
time_utc,temperature_c,rain_mm_hour,solar_wm2,wind_ms
2021-06-15T21:00,17.9,0.0,0.0,4.34
2021-06-15T22:00,16.9,0.0,0.0,4.37
2021-06-15T23:00,16.2,0.0,0.0,4.47
2021-06-16T00:00,15.8,0.0,0.0,4.47
2021-06-16T01:00,15.3,0.0,0.0,4.69
2021-06-16T02:00,15.2,0.0,0.0,4.92
2021-06-16T03:00,15.1,0.0,4.0,4.93
2021-06-16T04:00,15.1,0.0,52.0,4.75
2021-06-16T05:00,15.2,0.0,111.0,4.81
2021-06-16T06:00,15.9,0.0,211.0,4.81
2021-06-16T07:00,16.3,0.0,299.0,5.15
2021-06-16T08:00,17.5,0.0,384.0,5.01
2021-06-16T09:00,19.3,0.0,519.0,5.1
2021-06-16T10:00,20.5,0.0,494.0,4.6
2021-06-16T11:00,21.1,0.0,475.0,4.74
2021-06-16T12:00,21.3,0.0,485.0,4.6
2021-06-16T13:00,21.7,0.0,369.0,4.2
2021-06-16T14:00,21.8,0.0,253.0,4.0
2021-06-16T15:00,21.5,0.0,191.0,3.61
2021-06-16T16:00,21.1,0.0,155.0,3.44
2021-06-16T17:00,20.3,0.0,89.0,3.2
2021-06-16T18:00,19.4,0.0,112.0,2.8
2021-06-16T19:00,18.6,0.0,41.0,2.6
2021-06-16T20:00,18.1,0.0,4.0,2.12
2021-06-16T21:00,17.1,0.0,0.0,1.36
2021-06-16T22:00,16.4,0.0,0.0,1.7
2021-06-16T23:00,15.8,0.0,0.0,2.26
2021-06-17T00:00,15.3,0.0,0.0,2.69
2021-06-17T01:00,15.0,0.0,0.0,2.28
2021-06-17T02:00,14.5,0.0,0.0,2.02
2021-06-17T03:00,14.0,0.0,3.0,2.33
2021-06-17T04:00,13.5,0.0,25.0,2.69
2021-06-17T05:00,13.2,0.0,56.0,2.78
2021-06-17T06:00,13.3,0.0,101.0,3.12
2021-06-17T07:00,13.8,0.0,131.0,3.05
2021-06-17T08:00,14.7,0.0,279.0,2.95
2021-06-17T09:00,15.3,0.0,295.0,2.83
2021-06-17T10:00,16.8,0.0,317.0,1.84
2021-06-17T11:00,17.1,0.0,476.0,2.3
2021-06-17T12:00,18.0,0.0,689.0,2.69
2021-06-17T13:00,18.8,0.0,499.0,3.4
2021-06-17T14:00,18.6,0.0,503.0,3.62
2021-06-17T15:00,18.7,0.0,456.0,3.98
2021-06-17T16:00,18.4,0.0,321.0,3.3
2021-06-17T17:00,18.0,0.0,254.0,3.1
2021-06-17T18:00,18.0,0.0,147.0,3.07
2021-06-17T19:00,17.5,0.0,69.0,2.13
2021-06-17T20:00,16.9,0.0,9.0,1.94
2021-06-17T21:00,16.2,0.0,0.0,1.32
2021-06-17T22:00,14.3,0.0,0.0,1.39
2021-06-17T23:00,14.5,0.0,0.0,1.84
2021-06-18T00:00,14.3,0.0,0.0,3.4
2021-06-18T01:00,14.1,0.0,0.0,4.04
2021-06-18T02:00,12.9,0.0,0.0,3.68
2021-06-18T03:00,12.3,0.0,2.0,3.68
2021-06-18T04:00,11.5,0.0,28.0,3.75
2021-06-18T05:00,11.4,0.0,78.0,3.89
2021-06-18T06:00,12.4,0.0,181.0,4.07
2021-06-18T07:00,13.5,0.0,367.0,4.51
2021-06-18T08:00,14.3,0.0,445.0,4.83
2021-06-18T09:00,14.8,0.0,476.0,4.9
2021-06-18T10:00,16.0,0.0,574.0,4.44
2021-06-18T11:00,16.9,0.0,534.0,4.33
2021-06-18T12:00,16.8,0.0,458.0,4.67
2021-06-18T13:00,16.6,0.0,404.0,4.81
2021-06-18T14:00,16.4,0.0,365.0,4.53
2021-06-18T15:00,16.1,0.0,268.0,4.89
2021-06-18T16:00,15.5,0.0,217.0,4.72
2021-06-18T17:00,15.1,0.1,147.0,4.22
2021-06-18T18:00,14.7,0.0,55.0,4.34
2021-06-18T19:00,14.0,0.0,40.0,4.25
2021-06-18T20:00,13.6,0.0,5.0,2.92
2021-06-18T21:00,13.0,0.0,0.0,2.14
2021-06-18T22:00,12.8,0.0,0.0,0.81
2021-06-18T23:00,12.5,0.0,0.0,0.72
2021-06-19T00:00,12.1,0.0,0.0,1.33
2021-06-19T01:00,11.8,0.0,0.0,1.33
2021-06-19T02:00,11.8,0.0,0.0,1.5
2021-06-19T03:00,11.6,0.0,2.0,1.51
2021-06-19T04:00,11.4,0.0,36.0,0.92
2021-06-19T05:00,11.9,0.0,85.0,0.98
